year;idhous;region;refper;hldtyp;nbpers;nbkid;aduk1;aduk2;idispy;hdbgt;idpers;sex;age;edcat;occupa;iavsy;relarp;idspou;civsta;maxcop;ownkid;edyear;mnist;nat_1;nat_2;nat_3;permit;hab_ch;plingu
2003;128711;Zurich;12871102;couple w;2;0;0;0;138894.7969;24927.748;12871102;woman;29;apprenti;part-tim;inapplicable;Referenc;12871101;married;9;1;12;46.0464;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;128871;Zurich;12887102;couple w;3;0;1;0;118616.6016;16298.58777;12887102;woman;58;vocation;in schoo;inapplicable;Referenc;12887101;married;22;1;16;29.657804;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129071;Zurich;12907102;couple w;5;3;0;0;89609.79688;12469.44238;12907102;woman;34;apprenti;part-tim;inapplicable;Referenc;12907101;married;14;3;12;47.094528;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129091;Zurich;12909101;one pers;1;0;0;0;31110.40039;6703.35248;12909101;woman;60;apprenti;part-tim;inapplicable;Referenc;inapplicable;divorced;0;2;12;48.045984;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129141;Zurich;12914102;couple w;2;0;0;0;97341.79688;18865.30931;12914102;woman;75;apprenti;retired;21600;Referenc;12914101;married;49;2;12;50.462784;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129511;Zurich;12951102;couple w;5;3;0;0;96213.14844;17367.91351;12951102;man;43;vocation;full-tim;inapplicable;Referenc;12951101;married;19;3;16;31.976308;Switzerl;inapplic;inapplic;inapplic;1963;german
2003;129621;Zurich;12962101;couple w;2;0;0;0;106770.7969;16057.99482;12962101;woman;49;incomple;part-tim;28380;Referenc;12962102;widower/;19;1;8;66.039144;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129661;Zurich;12966101;couple w;5;3;0;0;149414.7969;28602.47244;12966101;man;41;vocation;part-tim;inapplicable;Referenc;12966102;divorced;0;1;16;33.966412;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129721;Zurich;12972101;one pers;1;0;0;0;94093.39844;13823.30657;12972101;woman;35;vocation;full-tim;inapplicable;Referenc;inapplicable;divorced;0;0;16;30.85318;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129731;Zurich;12973102;couple w;2;0;0;0;107395.7969;21070.83991;12973102;man;71;vocation;retired;102600;Referenc;12973101;married;48;2;16;29.608544;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;129831;Zurich;12983101;one pers;1;0;0;0;44270.39844;9486.518337;12983101;man;39;apprenti;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;47.277696;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130061;Zurich;13006101;couple w;3;1;0;0;89905.79688;14111.0555;13006101;man;44;vocation;part-tim;inapplicable;Referenc;13006102;married;9;2;16;34.748004;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130131;Zurich;13013102;couple w;4;0;2;0;82840.24219;14736.23878;13013102;woman;48;compulso;part-tim;inapplicable;Referenc;13013101;married;28;2;9;59.347374;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130191;Zurich;13019101;couple w;2;0;0;0;81181.79688;14447.92957;13019101;woman;50;vocation;full-tim;inapplicable;Referenc;13019102;single.;9;0;16;31.536252;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130361;Zurich;13036101;couple w;2;0;0;0;45008.39063;9771.079455;13036101;man;42;apprenti;part-tim;inapplicable;Referenc;13036102;married;24;0;12;55.499904;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130411;Zurich;13041101;couple w;4;2;0;0;77096.92188;14258.32462;13041101;woman;36;apprenti;child. w;inapplicable;Referenc;13041102;married;10;2;12;54.87408;Germany;inapplic;inapplic;resident;1993;german
2003;130421;Zurich;13042101;one pers;1;0;0;0;63276.39844;11431.25233;13042101;man;75;vocation;retired;65400;Referenc;inapplicable;widower/;0;3;16;32.813728;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130431;Zurich;13043101;couple w;4;2;0;0;63845.92188;10932.72074;13043101;man;44;apprenti;full-tim;inapplicable;Referenc;13043102;married;23;2;12;46.946976;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130581;Zurich;13058102;couple w;2;0;0;0;88046.79688;15890.14184;13058102;woman;47;apprenti;part-tim;inapplicable;Referenc;13058101;married;25;0;12;47.298048;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130621;Zurich;13062102;couple w;2;0;0;0;45258.39063;7722.137923;13062102;woman;68;apprenti;retired;17760;Referenc;13062101;married;49;4;12;50.732448;Switzerl;inapplic;inapplic;inapplic;1935;german
2003;130651;Zurich;13065102;couple w;5;3;0;0;92667.14844;14563.7696;13065102;woman;41;apprenti;part-tim;inapplicable;Referenc;13065101;married;21;3;12;48.035808;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130771;Zurich;13077102;couple w;2;0;0;0;107017.7969;17245.70168;13077102;woman;65;vocation;part-tim;18000;Referenc;13077101;married;29;2;16;36.068172;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130801;Zurich;13080101;couple w;2;0;0;0;95099.79688;18217.01789;13080101;man;59;apprenti;full-tim;inapplicable;Referenc;13080102;divorced;6;2;12;51.0072;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;130931;Zurich;13093102;couple w;3;0;1;0;110362.6016;20434.2594;13093102;woman;50;apprenti;part-tim;inapplicable;Referenc;13093101;married;31;2;12;49.287456;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131201;Zurich;13120102;couple w;4;2;0;0;139885.7969;19327.33595;13120102;man;46;apprenti;full-tim;inapplicable;Referenc;13120101;married;20;2;12;51.526176;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131241;Zurich;13124102;couple w;2;0;0;0;140397.7969;28137.60609;13124102;man;40;apprenti;full-tim;inapplicable;Referenc;13124101;single.;12;0;12;54.74688;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131511;East Swi;13151101;couple w;2;0;0;0;45771.79688;8261.893693;13151101;man;69;apprenti;retired;38510;Referenc;13151102;married;44;3;12;48.987264;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131631;East Swi;13163102;couple w;4;0;2;0;187898.5938;27590.84496;13163102;woman;44;full-tim;part-tim;inapplicable;Referenc;13163101;married;27;2;12;50.340672;Switzerl;Germany;inapplic;inapplic;1980;german
2003;131671;East Swi;13167102;couple w;4;2;0;0;93738.60156;14628.73236;13167102;woman;41;apprenti;part-tim;80000;Referenc;13167101;married;25;2;12;54.614592;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131801;East Swi;13180101;one pers;1;0;0;0;21626.50391;3899.142355;13180101;woman;61;compulso;child. w;inapplicable;Referenc;inapplicable;separate;0;2;9;62.439054;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131811;East Swi;13181102;couple w;4;1;1;0;76551.76563;12450.73589;13181102;woman;46;apprenti;part-tim;inapplicable;Referenc;13181101;married;23;2;12;54.334752;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131831;East Swi;13183101;one pers;1;0;0;0;50689;8217.43648;13183101;man;26;apprenti;full-tim;inapplicable;Referenc;inapplicable;single.;0;0;12;55.016544;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;131911;East Swi;13191101;couple w;3;0;0;1;142721.5938;23263.40409;13191101;woman;75;apprenti;retired;16200;Referenc;13191102;married;41;2;12;54.227904;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;132281;East Swi;13228102;couple w;6;4;0;0;141447.4063;25470.12232;13228102;woman;33;apprenti;child. w;inapplicable;Referenc;13228101;married;12;4;12;53.698752;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;132411;East Swi;13241102;couple w;4;2;0;0;70388.60156;11985.05107;13241102;woman;35;apprenti;part-tim;inapplicable;Referenc;13241101;married;15;2;12;53.637696;Switzerl;inapplic;inapplic;inapplic;1968;german
2003;132661;East Swi;13266102;couple w;2;0;0;0;63690.80078;9236.661914;13266102;man;58;apprenti;full-tim;inapplicable;Referenc;13266101;married;26;2;12;54.039648;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;132821;East Swi;13282101;other ho;5;2;0;0;79676;12926.02003;13282101;woman;32;bachelor;child. w;inapplicable;Referenc;13282102;married;11;2;13;42.716044;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;132841;East Swi;13284102;couple w;3;0;1;0;103815.3984;20713.42746;13284102;woman;51;domestic;part-tim;inapplicable;Referenc;13284101;married;31;2;10;60.6787;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;133221;East Swi;13322102;couple w;6;4;0;0;95011.79688;17731.34568;13322102;man;37;vocation;full-tim;inapplicable;Referenc;13322101;married;16;4;16;35.7956;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;133511;East Swi;13351102;couple w;2;0;0;0;75831;15034.61261;13351102;woman;57;compulso;part-tim;inapplicable;Referenc;13351101;married;36;2;9;60.171822;Switzerl;United S;inapplic;inapplic;1968;german
2003;133621;East Swi;13362102;other ho;3;1;0;0;30252.88867;5251.743599;13362102;woman;77;domestic;retired;16560;Referenc;13362101;married;58;6;10;55.39552;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;133641;East Swi;13364101;one pers;1;0;0;0;23324.12891;5506.939396;13364101;woman;68;compulso;retired;25850;Referenc;inapplicable;single.;0;0;9;63.308589;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;133801;East Swi;13380101;one pers;1;0;0;0;40184.39844;7748.972412;13380101;woman;49;technica;full-tim;inapplicable;Referenc;inapplicable;divorced;0;2;16;30.160256;Switzerl;Austria;inapplic;inapplic;1975;german
2003;133861;East Swi;13386102;couple w;5;2;1;0;81111.39844;12409.51193;13386102;woman;43;bachelor;child. w;inapplicable;Referenc;13386101;married;0;3;13;44.032952;Germany;inapplic;inapplic;resident;1992;german
2003;133911;East Swi;13391102;couple w;3;0;1;0;92208.39844;15476.0849;13391102;woman;56;elementa;part-tim;inapplicable;Referenc;13391101;married;30;2;10;64.02711;Switzerl;inapplic;inapplic;inapplic;1949;german
2003;134021;East Swi;13402101;one pers;1;0;0;0;31402.60156;7222.0702;13402101;woman;77;apprenti;retired;36000;Referenc;inapplicable;widower/;0;4;12;54.13632;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;134271;East Swi;13427103;other ho;3;1;0;1;47926.24609;9165.754018;13427103;woman;37;apprenti;part-tim;inapplicable;Referenc;inapplicable;single.;37;1;12;55.30656;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;134391;East Swi;13439101;couple w;4;2;0;0;59791.60156;8861.197931;13439101;man;43;vocation;full-tim;inapplicable;Referenc;13439102;married;16;2;16;35.6314;Switzerl;inapplic;inapplic;inapplic;since bi;german
2003;134601;East Swi;13460101;couple w;6;3;1;0;75657.35156;12460.40158;13460101;man;48;technica;full-tim;8400;Referenc;13460102;married;24;6;16;35.355544;Switzerl;inapplic;inapplic;inapplic;does not;german
